GEOID,zip_code,route_id,total_pop,black_pop,hispanic_pop,asian_pop,white_pop
390610026003004,45219,17,56,7,5,1,40
390170111092007,45069,42,16,0,1,1,14
390610225002001,45215,78,0,0,0,0,0
390610225002003,45215,43,129,73,2,1,50
390610215041011,45246,20,31,9,6,4,12
390610215015014,45246,20,34,3,10,3,13
391650320062006,45140,71,0,0,0,0,0
391650320081011,45040,71,706,20,28,155,478
390170111233008,45069,42,0,0,0,0,0
390610064003010,45237,5162,27,19,0,0,8
390610204013021,45001,32,32,4,5,0,19
390610060002011,45216,5161,0,0,0,0,0
390610215061005,45240,20,233,127,43,9,51
390610251024001,45255,30,157,0,13,14,125
390610263001108,45203,27,0,0,0,0,0
390610231001047,45215,78,0,0,0,0,0
390610269002012,45214,16,0,0,0,0,0
390610265002065,45202,85,0,0,0,0,0
390610215053006,45240,20,176,100,4,19,46
390610205022005,45252,74,66,0,0,1,59
390610212021003,45248,33,219,10,3,5,197
390610055003002,45227,25,11,5,2,1,1
390610265001001,45202,33,0,0,0,0,0
390610244013021,45227,4023,56,9,1,0,41
390610258003022,45217,78,0,0,0,0,0
390610250011002,45244,24,0,0,0,0,0
390610039002009,45207,31,47,13,1,0,29
390610106001018,45233,3381,67,0,0,2,60
390610028002029,45225,64,7,2,1,0,3
390610028001028,45225,16,13,0,0,11,2
390610082012011,45224,3311,135,117,5,4,4
390610056005001,45227,4023,42,16,1,0,21
390610263001003,45214,49,0,0,0,0,0
390610207015002,45251,74,602,30,1,10,531
390610209023000,45211,21,39,0,0,4,30
390610265002024,45202,21,0,0,0,0,0
390610007003036,45202,64,178,14,5,19,133
390610071001003,45232,43,0,0,0,0,0
390610220003001,45218,14,247,37,5,1,191
390610029021004,45220,20,288,86,7,33,149
390610053011003,45209,51,101,0,0,2,97
390610239022000,45242,3,144,6,8,1,118
390610007001019,45202,40,0,0,0,0,0
390610236003004,45236,4,73,8,1,0,61
390610236001005,45236,4,83,9,3,0,69
390610046043006,45230,2401,122,27,1,0,72
390610046023006,45230,24,21,3,2,2,6
390610046031007,45230,2001,196,4,0,3,179
390610058003005,45213,2471,68,15,1,1,47
390610099011002,45238,3351,539,198,71,6,233
390610276002002,45213,4,0,0,0,0,0
390610275003026,45230,4004,0,0,0,0,0
390610217022013,45231,17,0,0,0,0,0
390610254012006,45212,4,11,2,3,3,0
390610040002002,45207,4,101,80,3,2,4
390610247001001,45227,11,39,1,3,0,35
390610240012015,45236,3,63,9,0,3,48
390610019001012,45206,1,0,0,0,0,0
390610029011000,45220,4034,284,27,9,58,183
390610017001004,45202,17,119,106,1,0,11
390610214221001,45238,77,87,7,1,0,71
390610214013005,45238,32,160,11,2,0,145
390610214221005,45238,32,158,10,0,11,127
390610011001022,45202,43,45,31,0,0,10
390610018001013,45202,3,33,10,3,0,16
390610212012000,45233,3331,138,2,0,0,127
390610274004010,45215,78,16,5,7,0,4
390610274002003,45215,78,0,0,0,0,0
390610032001000,45229,90,0,0,0,0,0
390610073002016,45232,20,27,16,2,0,5
390610042001008,45206,4001,67,3,3,2,55
390610017001008,45202,17,39,30,3,0,5
390610007002003,45202,4052,0,0,0,0,0
390610007002017,45202,21,9,0,0,1,8
390610274001020,45215,78,38,0,1,0,33
390610234002000,45237,4071,76,38,4,0,24
390610235224013,45236,4,66,2,1,2,58
390610042001014,45206,31,467,20,10,20,404
390610100031003,45211,21,106,56,0,0,43
390610223011011,45246,67,67,25,34,0,6
390610111002001,45231,16,5,1,2,0,1
390610260011012,45030,52,7,0,0,0,7
390610025001004,45219,17,18,2,2,4,2
390610218023017,45239,17,102,81,0,0,20
390610046023002,45230,24,48,0,4,0,29
390610009001019,45202,100,30,0,3,1,24
390610019001000,45206,1,49,8,2,0,38
390610231001019,45241,43,0,0,0,0,0
390610258002007,45217,78,37,7,5,0,23
390610083001004,45239,19,696,439,12,154,77
390610100024001,45225,3335,0,0,0,0,0
390610002001007,45214,49,374,321,5,0,25
390610046021008,45230,24,57,4,7,0,41
390610019001008,45206,1,167,21,5,10,118
390610243232000,45249,3,96,10,12,16,56
390610235224006,45236,4,0,0,0,0,0
390610224002018,45246,78,0,0,0,0,0
390610223012020,45246,23,16,4,4,0,7
390610207412004,45251,17,126,59,15,0,41
390610269001002,45214,31,53,33,0,2,18
390610243232003,45249,3,6,0,1,4,0
390610232012000,45215,43,78,2,5,0,66
390610232013010,45215,43,14,1,0,0,10
390610252001009,45212,4073,21,5,5,0,10
390610007003041,45202,64,6,0,1,0,5
390610265003021,45202,21,174,18,13,2,132
390610083001002,45239,19,39,13,2,1,20
390610061002010,45216,1161,145,49,39,0,55
390610221013005,45231,20,41,0,0,1,37
390610057011000,45213,4,208,27,1,0,174
390610066001002,45229,51,77,27,3,0,44
390610050002010,45208,25,43,1,0,0,40
390610248001003,45227,29,39,0,0,0,39
390610016002005,45202,100,19,7,0,0,12
390610009001025,45202,21,21,1,1,3,11
390610264003018,45203,49,95,38,7,4,45
390610275003041,45230,4004,11,0,0,0,9
390610037001016,45206,24,52,8,2,0,37
390610236001012,45236,4,26,0,6,0,20
390610046032009,45230,24,350,14,8,0,323
390610270003015,45229,1141,0,0,0,0,0
390610105001029,45233,32,10,0,0,0,10
390610268001013,45202,11,0,0,0,0,0
390610254011012,45212,51,84,0,2,0,82
390610071001014,45220,4041,20,6,4,0,6
390610028001013,45223,20,0,0,0,0,0
390610268001002,45202,1,38,2,4,0,32
390610051002002,45208,11,128,13,16,0,97
390610274001001,45215,43,0,0,0,0,0
390610268002012,45202,28,89,0,4,3,79
