GEOID,zip_code,route_id,total_pop,black_pop,hispanic_pop,asian_pop,white_pop
270530006033010,55418,25-113,20,0,0,0,18
270531012002013,55418,32-113,76,4,1,9,60
270530216014013,55427,705-113,37,0,0,5,31
270370601044014,55118,62-113,81,22,25,4,25
270370605054010,55077,75-113,0,0,0,0,0
270531004001014,55412,762-113,0,0,0,0,0
270530240031028,55435,587-113,63,3,1,1,48
270530209033010,55428,716-113,94,15,1,0,73
270530256051006,55435,6-113,0,0,0,0,0
270030508082007,55434,854-113,92,0,5,8,75
270030506053015,55433,850-113,82,0,4,0,73
270030506091009,55448,805-113,0,0,0,0,0
270030506092004,55448,805-113,19,4,0,2,12
270530254031009,55420,18-113,38,17,6,4,11
